u,advérbio,ˈu
ú·be·re,"nome masculino",ˈu.be.ɾi
ú·be·re,adjetivo,ˈu.be.ɾi
u·bér·ri·mo,adjetivo,u.bˈɛ.xi.mʊ
u·bi,"nome masculino",u.bˈi
u·bi·qua·men·te,advérbio,u.bi.kwa.mˈẽj.tʃi
u·bi·qui·da·de,"nome feminino",u.bi.kwi.dˈa.dʒi
u·bí·quo,adjetivo,u.bˈi.kwʊ
u·cha,"nome feminino",ˈu.ʃə
u·cra·ni·a·na,"nome feminino",u.kɾa.njˈə.nə
u·cra·ni·a·no,"nome masculino",u.kɾa.njˈə.nʊ
u·cra·ni·a·no,adjetivo,u.kɾa.njˈə.nʊ
u·cro·ni·a,"nome feminino",u.kɾo.nˈi.jə
u·do,adjetivo,ˈu.dʊ
u·du,"nome masculino",u.dˈu
u·ê,interjeição,u.ˈe
u·é,interjeição,u.ˈɛ
uf,interjeição,ˈuf
u·fa,"nome feminino",ˈu.fə
u·fa,interjeição,ˈu.fə
u·fa·na·men·te,advérbio,u.fa.na.mˈẽj.tʃi
u·fa·nar,verbo,u.fa.nˈa
u·fa·ni·a,"nome feminino",u.fa.nˈi.jə
u·fa·no,adjetivo,u.fˈə.nʊ
u·gan·dês,"nome masculino",u.gə̃.dˈes
u·gan·dês,adjetivo,u.gə̃.dˈes
u·gan·de·sa,"nome feminino",u.gə̃.dˈe.zə
u·gar,verbo,u.gˈa
uh,interjeição,ˈu
ui,interjeição,wˈi
ui·gu·re,"nome masculino",wi.gˈu.ɾi
u·ís·que,"nome masculino",wˈis.ki
ui·van·te,adjetivo,wi.vˈə̃.tʃi
ui·var,verbo,wi.vˈa
ui·vo,"nome masculino",wˈi.vʊ
u·ja,"nome feminino",ˈu.ʒə
úl·ce·ra,"nome feminino",ˈuw.se.ɾə
ul·ce·ra·ção,"nome feminino",uw.se.ɾa.sˈə̃w
ul·ce·ra·do,adjetivo,uw.se.ɾˈa.dʊ
ul·ce·rar,verbo,uw.se.ɾˈa
ul·ce·ro·so,adjetivo,uw.se.ɾˈo.zʊ
u·lis·si·po·nen·se,adjetivo,u.li.si.po.nˈẽj.si
u·lis·si·po·nen·se,"nome masculino","u.li.si.po.nˈẽj.si ou u.li.si.po.nˈẽj.si"
ul·mei·ro,"nome masculino",uw.mˈej.ɾʊ
ul·te·ri·or,adjetivo,uw.te.ɾi.ˈoɾ
ul·te·ri·or·men·te,advérbio,uw.te.ɾi.oɾ.mˈẽj.tʃi
úl·ti·ma,"nome feminino",ˈuw.tʃi.mə
ul·ti·ma·ção,"nome feminino",uw.tʃi.ma.sˈə̃w
ul·ti·ma·do,adjetivo,uw.tʃi.mˈa.dʊ
ul·ti·ma·men·te,advérbio,uw.tʃi.ma.mˈẽj.tʃi
ul·ti·mar,verbo,uw.tʃi.mˈa
úl·ti·mas,"nome feminino",ˈuw.tʃi.məs
ul·ti·ma·to,"nome masculino",uw.tʃi.mˈa.tʊ
úl·ti·mo,adjetivo,ˈuw.tʃi.mʊ
úl·ti·mo,"nome masculino",ˈuw.tʃi.mʊ
ul·tra,"nome masculino",ˈuw.tɾə
ul·tra,"nome feminino",ˈuw.tɾə
ul·tra,adjetivo,ˈuw.tɾə
ul·tra-hi·per·bó·li·co,adjetivo,uw.tɾa.i.pɛɾ.bˈɔ.li.kʊ
ul·tra-ho·mé·ri·co,adjetivo,uw.tɾa.o.mˈɛ.ɾi.kʊ
ul·tra-hu·ma·no,adjetivo,uw.tɾa.u.mˈə.nʊ
ul·tra·bá·si·co,adjetivo,uw.tɾa.bˈa.zi.kʊ
ul·tra·cen·tri·fu·ga·ção,"nome feminino",uw.tɾa.sẽ.tɾi.fu.ga.sˈə̃w
ul·tra·cen·tri·fu·gar,verbo,uw.tɾa.sẽ.tɾi.fu.gˈaɾ
ul·tra·com·pe·ten·te,adjetivo,uw.tɾa.kõ.pe.tˈẽj.tʃi
ul·tra·con·fi·an·ça,"nome feminino",uw.tɾa.kõ.fjˈə̃.sə
ul·tra·con·ge·la·ção,"nome feminino",uw.tɾa.kõ.ʒe.la.sˈə̃w
ul·tra·con·ge·la·do,adjetivo,uw.tɾa.kõ.ʒe.lˈa.dʊ
ul·tra·con·ser·va·dor,adjetivo,uw.tɾa.kõ.seɾ.va.dˈoɾ
ul·tra·con·ser·va·dor,"nome masculino",uw.tɾa.kõ.seɾ.va.dˈoɾ
ul·tra·con·ser·va·do·ra,"nome feminino",uw.tɾa.kõ.seɾ.va.dˈo.ɾə
ul·tra·cor·re·ção,"nome feminino",uw.tɾa.ko.xe.sˈə̃w
ul·tra·cor·re·to,adjetivo,uw.tɾa.ko.xˈɛ.tʊ
ul·tra·cor·ri·gi·do,adjetivo,uw.tɾa.ko.xi.ʒˈi.dʊ
ul·tra·cur·to,adjetivo,uw.tɾa.kˈuɾ.tʊ
ul·tra·de·mo·crá·ti·co,adjetivo,uw.tɾa.de.mo.kɾˈa.tʃi.kʊ
ul·tra·di·vi·no,adjetivo,uw.tɾa.dʒi.vˈi.nʊ
ul·tra·es·drú·xu·lo,adjetivo,uw.tɾa.ez.dɾˈu.ʃu.lʊ
ul·tra·e·ti·mo·ló·gi·co,adjetivo,uw.tɾa.e.tʃi.mo.lˈɔ.ʒi.kʊ
"ul·tra·e·xis·tên·ci· a","nome feminino",uw.tɾa.e.zis.tˈẽj.sjə
ul·tra·e·xis·ten·te,adjetivo,uw.tɾa.e.zis.tˈẽj.tʃi
ul·tra·fa·bu·lo·so,adjetivo,uw.tɾa.fa.bu.lˈo.zʊ
ul·tra·fan·tás·ti·co,adjetivo,uw.tɾa.fə̃.tˈas.tʃi.kʊ
ul·tra·fil·tra·ção,"nome feminino",uw.tɾa.fiw.tɾa.sˈə̃w
ul·tra·in·fer·nal,adjetivo,uw.tɾa.ĩ.fer.nˈaw
ul·tra·ja·do,adjetivo,uw.tɾa.ʒˈa.dʊ
ul·tra·jan·te,adjetivo,uw.tɾa.ʒˈə̃.tʃi
ul·tra·jan·te·men·te,advérbio,uw.tɾa.ʒə̃.te.mˈẽj.tʃi
ul·tra·jar,verbo,uw.tɾa.ʒˈa
ul·tra·je,"nome masculino",uw.tɾˈa.ʒi
ul·tra·ju·di·ci·al,adjetivo,uw.tɾa.ʒu.dʒi.sjˈaw
ul·tra·le·ve,adjetivo,uw.tɾa.lˈɛ.vi
ul·tra·le·ve,"nome masculino",uw.tɾa.lˈɛ.vi
ul·tra·li·be·ral,"nome feminino",uw.tɾa.li.be.ɾˈaw
ul·tra·li·be·ral,"nome masculino",uw.tɾa.li.be.ɾˈaw
ul·tra·li·be·ral,adjetivo,uw.tɾa.li.be.ɾˈaw
ul·tra·li·be·ra·lis·mo,"nome masculino",uw.tɾa.li.be.ɾa.lˈiz.mʊ
ul·tra·li·be·ral·men·te,advérbio,"uw.tɾa.li.be.ɾaw.mˈẽj.tʃi ou uw.tɾa.li.be.ɾaw.mˈẽj.tʃi"
ul·tra·lí·ri·co,adjetivo,uw.tɾa.lˈi.ɾi.kʊ
ul·tra·lon·go,adjetivo,uw.tɾa.lˈõ.gʊ
ul·tra·mar,"nome masculino",uw.tɾa.mˈaɾ
ul·tra·ma·ri·no,adjetivo,uw.tɾa.ma.ɾˈi.nʊ
ul·tra·me·ta·mór·fi·co,adjetivo,uw.tɾa.me.ta.mˈɔɾ.fi.kʊ
ul·tra·mi·cros·co·pi·a,"nome feminino",uw.tɾa.mi.kɾos.ko.pˈi.jə
ul·tra·mi·cros·có·pi·co,adjetivo,uw.tɾa.mi.kɾos.kˈɔ.pi.kʊ
"ul·tra·mi·cros·có·pi· o","nome masculino",uw.tɾa.mi.kɾos.kˈɔ.pjʊ
ul·tra·mi·li·ta·ris·mo,"nome masculino",uw.tɾa.mi.li.ta.ɾˈiz.mʊ
ul·tra·mi·li·ta·ris·ta,"nome feminino",uw.tɾa.mi.li.ta.ɾˈis.tə
ul·tra·mi·li·ta·ris·ta,"nome masculino",uw.tɾa.mi.li.ta.ɾˈis.tə
ul·tra·mi·li·ta·ris·ta,adjetivo,uw.tɾa.mi.li.ta.ɾˈis.tə
ul·tra·mo·der·nis·mo,"nome masculino",uw.tɾa.mo.der.nˈiz.mʊ
ul·tra·mo·der·nis·ta,"nome feminino",uw.tɾa.mo.der.nˈis.tə
ul·tra·mo·der·nis·ta,"nome masculino",uw.tɾa.mo.der.nˈis.tə
ul·tra·mo·der·nis·ta,adjetivo,uw.tɾa.mo.der.nˈis.tə
ul·tra·mo·der·no,adjetivo,uw.tɾa.mo.dˈɛr.nʊ
ul·tra·mo·nár·qui·co,"nome masculino",uw.tɾa.mo.nˈaɾ.ki.kʊ
ul·tra·mo·nár·qui·co,adjetivo,uw.tɾa.mo.nˈaɾ.ki.kʊ
ul·tra·mon·ta·na,"nome feminino",uw.tɾa.mõ.tˈə.nə
ul·tra·mon·ta·nis·mo,"nome masculino",uw.tɾa.mõ.ta.nˈiz.mʊ
ul·tra·mon·ta·no,"nome masculino",uw.tɾa.mõ.tˈə.nʊ
ul·tra·mon·ta·no,adjetivo,uw.tɾa.mõ.tˈə.nʊ
ul·tra·mun·da·no,adjetivo,uw.tɾa.mũ.dˈə.nʊ
ul·tra·na·ci·o·na·lis·ta,"nome feminino",uw.tɾa.na.si.o.na.lˈis.tə
ul·tra·na·ci·o·na·lis·ta,"nome masculino",uw.tɾa.na.si.o.na.lˈis.tə
ul·tra·na·ci·o·na·lis·ta,adjetivo,uw.tɾa.na.si.o.na.lˈis.tə
ul·tra·na·tu·ral,adjetivo,uw.tɾa.na.tu.ɾˈaw
ul·tra·o·ce·â·ni·co,adjetivo,uw.tɾa.o.si.ˈə.ni.kʊ
ul·tra·or·to·do·xo,adjetivo,uw.tɾa.oɾ.to.dˈɔ.kə.sʊ
ul·tra·pa·ra·do·xal,adjetivo,uw.tɾa.pa.ɾa.do.kə.sˈaw
ul·tra·pas·sa·do,adjetivo,uw.tɾa.pa.sˈa.dʊ
ul·tra·pas·sa·gem,"nome feminino",uw.tɾa.pa.sˈa.ʒeɲ
ul·tra·pas·san·te,adjetivo,uw.tɾa.pa.sˈə̃.tʃi
ul·tra·pas·sar,verbo,uw.tɾa.pa.sˈa
ul·tra·pas·sá·vel,adjetivo,uw.tɾa.pa.sˈa.vew
ul·tra·pas·teu·ri·za·do,adjetivo,uw.tɾa.pas.tew.ɾi.zˈa.dʊ
ul·tra·pe·ri·fé·ri·co,adjetivo,uw.tɾa.pe.ɾi.fˈɛ.ɾi.kʊ
ul·tra·pres·são,"nome feminino",uw.tɾa.pɾe.sˈə̃w
ul·tra·pro·var,verbo,uw.tɾa.pɾo.vˈaɾ
ul·tra·quí·mi·co,adjetivo,uw.tɾa.kˈi.mi.kʊ
ul·trar·ra·di·cal,adjetivo,uw.tɾa.xa.dʒi.kˈaw
ul·trar·rá·pi·do,adjetivo,uw.tɾa.xˈa.pi.dʊ
ul·trar·re·a·ção,"nome feminino",uw.tɾa.xi.a.sˈə̃w
"ul·trar·re·a·ci·o·ná·ri· a","nome feminino",uw.tɾa.xi.a.si.o.nˈa.ɾjə
"ul·trar·re·a·ci·o·ná·ri· o",adjetivo,uw.tɾa.xi.a.si.o.nˈa.ɾjʊ
"ul·trar·re·a·ci·o·ná·ri· o","nome masculino",uw.tɾa.xi.a.si.o.nˈa.ɾjʊ
ul·trar·re·a·lis·mo,"nome masculino",uw.tɾa.xi.a.lˈiz.mʊ
ul·trar·re·a·lis·ta,"nome feminino",uw.tɾa.xi.a.lˈis.tə
ul·trar·re·a·lis·ta,"nome masculino",uw.tɾa.xi.a.lˈis.tə
ul·trar·re·a·lis·ta,adjetivo,uw.tɾa.xi.a.lˈis.tə
ul·trar·re·vo·lu·ção,"nome feminino",uw.tɾa.xe.vo.lu.sˈə̃w
"ul·trar·re·vo·lu·ci·o·ná·ri· a","nome feminino",uw.tɾa.xe.vo.lu.si.o.nˈa.ɾjə
"ul·trar·re·vo·lu·ci·o·ná·ri· o",adjetivo,uw.tɾa.xe.vo.lu.si.o.nˈa.ɾjʊ
ul·trar·ri·go·ro·so,adjetivo,uw.tɾa.xi.go.ɾˈo.zʊ
ul·trar·ro·mân·ti·ca,"nome feminino",uw.tɾa.xo.mˈə̃.tʃi.kə
ul·trar·ro·mân·ti·co,adjetivo,uw.tɾa.xo.mˈə̃.tʃi.kʊ
ul·trar·ro·mân·ti·co,"nome masculino",uw.tɾa.xo.mˈə̃.tʃi.kʊ
ul·trar·ro·man·tis·mo,"nome masculino",uw.tɾa.xo.mə̃.tʃˈiz.mʊ
ul·trar·ro·man·ti·zar,verbo,uw.tɾa.xo.mə̃.tʃi.zˈaɾ
ul·trar·ro·xo,adjetivo,uw.tɾa.xˈo.ʃʊ
ul·tras·se·cre·to,adjetivo,uw.tɾa.se.kɾˈɛ.tʊ
ul·tras·se·cu·lar,adjetivo,uw.tɾa.se.ku.lˈaɾ
ul·tras·sen·sí·vel,adjetivo,uw.tɾa.sẽ.sˈi.vew
ul·tras·so·fis·ti·ca·do,adjetivo,uw.tɾa.so.fis.tʃi.kˈa.dʊ
ul·tras·so·lar,adjetivo,uw.tɾa.so.lˈaɾ
ul·tras·som,"nome masculino",uw.tɾa.sˈõ
ul·tras·só·ni·co,adjetivo,uw.tɾa.sˈɔ.ni.kʊ
ul·tras·so·no·ro,adjetivo,uw.tɾa.so.nˈɔ.ɾʊ
ul·tra·ter·re·no,adjetivo,uw.tɾa.te.xˈɛ.nʊ
ul·tra·ter·res·tre,adjetivo,uw.tɾa.te.xˈɛs.tɾi
ul·tra·tu·mu·lar,adjetivo,uw.tɾa.tu.mu.lˈaɾ
ul·tra·ve·loz,adjetivo,uw.tɾa.ve.lˈɔs
ul·tra·ver·me·lho,adjetivo,uw.tɾa.veɾ.mˈe.ʎʊ
ul·tra·vi·o·le·ta,adjetivo,uw.tɾa.vi.o.lˈe.tə
ul·tra·vi·o·le·ta,"nome masculino",uw.tɾa.vi.o.lˈe.tə
ul·tra·ví·rus,"nome masculino",uw.tɾa.vˈi.ɾʊs
ul·tra·zo·di·a·cal,adjetivo,uw.tɾa.zo.dʒja.kˈaw
u·lu·lan·te,adjetivo,u.lu.lˈə̃.tʃi
u·lu·lar,verbo,u.lu.lˈa
um,adjetivo,ˈũ
um,artigo,ˈũ
um,pronome,ˈũ
um,número,ˈũ
um,"nome masculino",ˈũ
u·ma,artigo,ˈu.mə
u·mar,verbo,u.mˈa
um·ban·da,"nome feminino",ũ.bˈə̃.də
um·be·lí·fe·ra,"nome feminino",ũ.be.lˈi.fe.ɾə
um·be·lí·fe·ro,adjetivo,ũ.be.lˈi.fe.ɾʊ
um·bi·go,"nome masculino",ũ.bˈi.gʊ
um·bi·li·cal,adjetivo,ũ.bi.li.kˈaw
um·bral,"nome masculino",ũ.bɾˈaw
um·bri·a,"nome feminino",ũ.bɾˈi.jə
um·bro,"nome masculino",ˈũ.bɾʊ
um·bro,adjetivo,ˈũ.bɾʊ
um·bun·do,adjetivo,ũ.bˈũ.dʊ
um·bun·do,"nome masculino",ũ.bˈũ.dʊ
um·bu·zei·ro,"nome masculino",ũ.bu.zˈej.ɾʊ
u·me,"nome masculino",ˈu.mi
ú·me·ro,"nome masculino",ˈu.me.ɾʊ
u·na·men·te,advérbio,u.na.mˈẽj.tʃi
u·na·ni·mar,verbo,u.na.ni.mˈa
u·nâ·ni·me,adjetivo,u.nˈə.ni.mi
u·na·ni·me·men·te,advérbio,u.na.ni.me.mˈẽj.tʃi
u·na·ni·mi·da·de,"nome feminino",u.na.ni.mi.dˈa.dʒi
u·na·ni·mis·mo,"nome masculino",u.na.ni.mˈiz.mʊ
u·na·ni·mis·ta,adjetivo,u.na.ni.mˈis.tə
u·na·ni·mis·ta,"nome masculino","u.na.ni.mˈis.tə ou u.na.ni.mˈis.tə"
u·nar,verbo,u.nˈa
un·ção,"nome feminino",ũ.sˈə̃w
un·dé·ci·mo,número,"ũ.dˈɛ.si.mʊ ou ũ.dˈɛ.si.mʊ"
un·gi·da,"nome feminino",ũ.ʒˈi.də
un·gi·do,adjetivo,ũ.ʒˈi.dʊ
un·gi·do,"nome masculino",ũ.ʒˈi.dʊ
un·gir,verbo,ũ.ʒˈi
un·guen·tar,verbo,ũ.gwẽ.tˈa
un·guen·to,"nome masculino",ũ.gwˈẽj.tʊ
un·gu·la·do,"nome masculino",ũ.gu.lˈa.dʊ
un·gu·la·do,adjetivo,ũ.gu.lˈa.dʊ
u·nha,"nome feminino",ˈu.ɲə
u·nha·da,"nome feminino",u.ɲˈa.də
u·nhão,"nome masculino",u.ɲˈə̃w
u·nhar,verbo,u.ɲˈa
u·ni·ão,"nome feminino",u.ni.ˈə̃w
ú·ni·ca,"nome feminino",ˈu.ni.kə
u·ni·ca·men·te,advérbio,u.ni.ka.mˈẽj.tʃi
u·ni·ce·lu·lar,adjetivo,u.ni.se.lu.lˈaɾ
u·ni·ci·da·de,"nome feminino",u.ni.si.dˈa.dʒi
ú·ni·co,adjetivo,ˈu.ni.kʊ
ú·ni·co,"nome masculino",ˈu.ni.kʊ
u·ni·co·lor,adjetivo,u.ni.ko.lˈoɾ
"u·ni·cór·ni· o","nome masculino",u.ni.kˈɔr.njʊ
u·ni·da·de,"nome feminino",u.ni.dˈa.dʒi
u·ni·da·men·te,advérbio,u.ni.da.mˈẽj.tʃi
u·ni·di·men·si·o·nal,adjetivo,u.ni.dʒi.mẽ.si.o.nˈaw
u·ni·di·re·ci·o·nal,adjetivo,u.ni.dʒi.ɾe.si.o.nˈaw
u·ni·do,adjetivo,u.nˈi.dʊ
u·ni·fi·ca·ção,"nome feminino",u.ni.fi.ka.sˈə̃w
u·ni·fi·ca·do,adjetivo,u.ni.fi.kˈa.dʊ
u·ni·fi·ca·dor,adjetivo,u.ni.fi.ka.dˈoɾ
u·ni·fi·ca·dor,"nome masculino",u.ni.fi.ka.dˈoɾ
u·ni·fi·ca·do·ra,"nome feminino",u.ni.fi.ka.dˈo.ɾə
u·ni·fi·car,verbo,u.ni.fi.kˈa
u·ni·fi·cá·vel,adjetivo,u.ni.fi.kˈa.vew
u·ni·for·mar,verbo,u.ni.foɾ.mˈa
u·ni·for·me,"nome masculino",u.ni.fˈɔɾ.mi
u·ni·for·me,adjetivo,u.ni.fˈɔɾ.mi
u·ni·for·me·men·te,advérbio,u.ni.fɔɾ.me.mˈẽj.tʃi
u·ni·for·mi·da·de,"nome feminino",u.ni.foɾ.mi.dˈa.dʒi
u·ni·for·mi·za·ção,"nome feminino",u.ni.foɾ.mi.za.sˈə̃w
u·ni·for·mi·za·do,adjetivo,u.ni.foɾ.mi.zˈa.dʊ
u·ni·for·mi·za·dor,"nome masculino",u.ni.foɾ.mi.za.dˈoɾ
u·ni·for·mi·za·dor,adjetivo,u.ni.foɾ.mi.za.dˈoɾ
u·ni·for·mi·za·do·ra,"nome feminino",u.ni.foɾ.mi.za.dˈo.ɾə
u·ni·for·mi·zar,verbo,u.ni.foɾ.mi.zˈa
u·ni·gé·ni·to,adjetivo,u.ni.ʒˈɛ.ni.tʊ
u·ni·gé·ni·to,"nome masculino",u.ni.ʒˈɛ.ni.tʊ
u·ni·la·te·ral,adjetivo,u.ni.la.te.ɾˈaw
u·ni·la·te·ra·li·da·de,"nome feminino",u.ni.la.te.ɾa.li.dˈa.dʒi
u·ni·la·te·ra·lis·mo,"nome masculino",u.ni.la.te.ɾa.lˈiz.mʊ
u·ni·la·te·ral·men·te,advérbio,u.ni.la.te.ɾaw.mˈẽj.tʃi
u·ni·no·mi·nal,adjetivo,u.ni.no.mi.nˈaw
u·ni·o·nis·mo,"nome masculino",u.ni.o.nˈiz.mʊ
u·ni·o·nis·ta,adjetivo,u.ni.o.nˈis.tə
u·ni·o·nis·ta,"nome feminino",u.ni.o.nˈis.tə
u·ni·o·nis·ta,"nome masculino",u.ni.o.nˈis.tə
u·ni·pes·so·al,adjetivo,u.ni.pe.so.ˈaw
u·ni·pes·so·al·men·te,advérbio,u.ni.pe.so.aw.mˈẽj.tʃi
u·ni·po·lar,adjetivo,u.ni.po.lˈaɾ
u·ni·po·la·ri·da·de,"nome feminino",u.ni.po.la.ɾi.dˈa.dʒi
u·nir,verbo,u.nˈi
u·nis·se·xo,adjetivo,u.ni.sˈɛ.kə.sʊ
u·nis·se·xu·al,adjetivo,u.ni.sek.swˈaw
u·nis·so·na·men·te,advérbio,u.ni.so.na.mˈẽj.tʃi
u·nís·so·no,"nome masculino",u.nˈi.so.nʊ
u·nís·so·no,adjetivo,u.nˈi.so.nʊ
"u·ni·tá·ri· a","nome feminino",u.ni.tˈa.ɾjə
u·ni·ta·ri·a·men·te,advérbio,u.ni.ta.ɾja.mˈẽj.tʃi
"u·ni·tá·ri· o","nome masculino",u.ni.tˈa.ɾjʊ
"u·ni·tá·ri· o",adjetivo,u.ni.tˈa.ɾjʊ
u·ni·ta·ris·mo,"nome masculino",u.ni.ta.ɾˈiz.mʊ
u·ni·ta·ris·ta,"nome masculino",u.ni.ta.ɾˈis.tə
u·ni·ta·ris·ta,adjetivo,u.ni.ta.ɾˈis.tə
u·ni·ta·ris·ta,"nome feminino",u.ni.ta.ɾˈis.tə
u·ni·ti·vo,adjetivo,u.ni.tʃˈi.vʊ
u·ni·ver·sal,"nome masculino",u.ni.veɾ.sˈaw
u·ni·ver·sal,adjetivo,u.ni.veɾ.sˈaw
u·ni·ver·sa·li·da·de,"nome feminino",u.ni.veɾ.sa.li.dˈa.dʒi
u·ni·ver·sa·lis·mo,"nome masculino",u.ni.veɾ.sa.lˈiz.mʊ
u·ni·ver·sa·lis·ta,"nome masculino",u.ni.veɾ.sa.lˈis.tə
u·ni·ver·sa·lis·ta,adjetivo,u.ni.veɾ.sa.lˈis.tə
u·ni·ver·sa·lis·ta,"nome feminino",u.ni.veɾ.sa.lˈis.tə
u·ni·ver·sa·li·za·ção,"nome feminino",u.ni.veɾ.sa.li.za.sˈə̃w
u·ni·ver·sa·li·zar,verbo,u.ni.veɾ.sa.li.zˈa
u·ni·ver·sa·li·zá·vel,adjetivo,u.ni.veɾ.sa.li.zˈa.vew
u·ni·ver·sal·men·te,advérbio,u.ni.veɾ.saw.mˈẽj.tʃi
u·ni·ver·si·da·de,"nome feminino",u.ni.veɾ.si.dˈa.dʒi
"u·ni·ver·si·tá·ri· a","nome feminino",u.ni.veɾ.si.tˈa.ɾjə
u·ni·ver·si·ta·ri·a·men·te,advérbio,u.ni.veɾ.si.ta.ɾja.mˈẽj.tʃi
"u·ni·ver·si·tá·ri· o",adjetivo,u.ni.veɾ.si.tˈa.ɾjʊ
"u·ni·ver·si·tá·ri· o","nome masculino",u.ni.veɾ.si.tˈa.ɾjʊ
u·ni·ver·so,"nome masculino",u.ni.vˈɛɾ.sʊ
u·ni·vo·ca·men·te,advérbio,u.ni.vo.ka.mˈẽj.tʃi
u·ni·vo·ci·da·de,"nome feminino",u.ni.vo.si.dˈa.dʒi
